[    670,     153;
     866,      58;
     864,      72;
     928,      62;
     375,     165;
     430,     147;
     550,     188;
     383,     158;
     932,      71;
     456,     218;
     479,     197;
     554,     197;
     563,     197;
     513,     185;
     274,     238;
     827,      98;
     837,      44;
     937,      69;
     898,      68;
     978,      55;
     916,      43;
     344,     152;
     404,     218;
     857,      58;
     864,      31;
     896,      55;
     886,      69;
     902,      31;
     827,      81;
     502,     185;
     889,      47;
     374,     158;
     382,     151;
     874,      73;
     443,     166;
     144,      74;
     159,      68;
     858,      77;
     361,     150;
    1044,     158;
     866,      67;
     209,      88;
     452,     186;
     365,     141;
     401,     206;
     390,     161;
     670,     157;
     559,     206;
     388,     168;
     453,     168;
     844,      46;
     429,     142;
     885,      47;
     215,      85;
     442,     144;
     892,      33;
    1043,     148;
     938,      60;
     862,      70;
     387,     132;
     662,     124;
     974,      59;
     147,      67;
     135,     109;
     545,     190;
     876,      66;
     428,     149;
     542,     190;
     865,      53;
     667,     158;
     420,     167;
     841,      40;
     542,     186;
     430,     154;
     369,     235;
     854,      79;
     663,     156;
     468,     187;
     881,      63;
     144,      82;
     914,      49;
     854,      55;
     419,     228;
     366,     233;
     856,      49;
     408,     136;
     925,      44;
     419,     152;
     553,     200;
     859,      73;
     942,      59;
     340,     103;
     881,      69;
     617,     169;
     460,     185;
     928,      69;
     958,     288;
     628,     149;
     871,      35;
     188,      68;
     844,      51;
     433,     169;
     669,     125;
     848,     148;
     908,      36;
     509,     190;
     386,     135;
     910,      42;
     170,      57;
   829.2,    81.6;
   427.2,   148.8;
   374.4,   157.2;
    1044,   159.6;
   889.2,      48;
   243.6,    74.4;
   512.4,   184.8;
     420,   166.8;
   669.6,   153.6;
     840,   124.8;
   826.8,    81.6;
   661.2,   124.8;
   844.8,   105.6;
     144,    81.6;
   885.6,    46.8;
     216,      84;
   974.4,    58.8;
   135.6,     108;
     144,    73.2;
   451.2,   183.6;
   549.6,   187.2;
   400.8,   205.2;
   873.6,      72;
   866.4,    56.4;
     876,      66;
   862.8,    52.8;
   146.4,    67.2;
   667.2,   157.2;
   273.6,   237.6;
   628.8,   175.2;
   382.8,   158.4;
   885.6,    68.4;
   895.2,      54;
   915.6,    43.2;
   478.8,   196.8;
   159.6,    67.2;
   405.6,   217.2;
   880.8,    62.4;
     390,   159.6;
   364.8,   140.4;
   368.4,     234;
   543.6,   189.6;
   554.4,   196.8;
   861.6,    70.8;
  1042.8,   148.8;
   344.4,   152.4;
     366,   232.8;
   387.6,     168;
     360,     150;
