[      0,       3;
       1,     149;
       2,     357;
       3,       4;
       4,      23;
       5,     143;
       6,      80;
       7,      53;
       8,      15;
       9,      34;
      10,      23;
      11,     157;
      12,     454;
      13,       5;
      14,     315;
      15,     473;
      16,     306;
      17,     114;
      18,       1;
      19,      65;
      20,      37;
      21,     154;
      22,     161;
      23,     381;
      24,     268;
      25,      84;
      26,       4;
      27,      40;
      28,     190;
      29,     131;
      30,      13;
      31,     300;
      32,      25;
      33,     205;
      34,      12;
      35,      84;
      36,      65;
      37,      41;
      38,       9;
      39,     263;
      40,      22;
      41,     335;
      42,       7;
      43,      37;
      44,     284;
      45,      58;
      46,     316;
      47,      84;
      48,      68;
      49,      26;
      50,      74;
      51,      97;
      52,      81;
      53,      29;
      54,      46;
      55,     126;
      56,     226;
      57,      60;
      58,      54;
      59,      95;
      60,      66;
      61,     453;
      62,     119;
      63,      31;
      64,     151;
      65,     226;
      66,     195;
      67,       0;
      68,      74;
      69,     394;
      70,     180;
      71,     223;
      72,      21;
      73,     181;
      74,      19;
      75,     323;
      76,       8;
      77,      37;
      78,      70;
      79,     290;
      80,      63;
      81,       1;
      82,      49;
      83,     145;
      84,     105;
      85,      24;
      86,     148;
      87,      61;
      88,     350;
      89,     122;
      90,     230;
      91,     165;
      92,     244;
      93,      14;
      94,     215;
      95,     152;
      96,      94;
      97,     113;
      98,      75;
      99,     263;
     100,      73;
     101,      27;
     102,      96;
     103,     139;
     104,     181;
     105,     151;
     106,     323;
     107,     263;
     108,     295;
     109,     195;
     110,     409;
     111,      37;
     112,     116;
     113,     153;
     114,      73;
     115,     236;
     116,     142;
     117,       6;
     118,     216;
     119,      25;
     120,     127;
     121,     262;
     122,     190;
     123,     141;
     124,     471;
     125,     146;
     126,     154;
     127,      62;
     128,     133;
     129,     454;
     130,      32;
     131,     121;
     132,     357;
     133,     190;
     134,      64;
     135,     114;
     136,     228;
     137,     397;
     138,     175;
     139,     129;
     140,     472;
     141,      53;
     142,     163;
     143,     144;
     144,     118;
     145,     139;
     146,      65;
     147,     171;
     148,     224;
     149,     111;
     150,     108;
     151,     138;
     152,     152;
     153,     143;
     154,      84;
     155,     284;
     156,     148;
     157,     159;
     158,      89;
     159,      25;
     160,     169;
     161,     186;
     162,      76;
     163,      75;
     164,     185;
     165,     244;
     166,     130;
     167,     229;
     168,     169;
     169,     215;
     170,     124;
