[    950,     255;
     477,     183;
     782,      81;
     205,     106;
     642,     125;
     646,     156;
     841,      41;
     538,     195;
     274,     101;
     779,      43;
     549,     195;
     952,     255;
     643,     152;
     388,     222;
     981,     304;
     434,     149;
     401,     136;
     385,     164;
     955,     314;
     419,     163;
     441,     149;
     226,      81;
     780,     117;
     412,     200;
     470,     149;
     973,      88;
     813,      50;
     528,     183;
     785,      42;
     955,      56;
     206,     134;
     650,     149;
     806,      48;
     934,     210;
     794,      90;
     791,      64;
     846,      48;
     383,     158;
     537,     198;
     831,      64;
     227,      94;
     953,     158;
     971,      90;
     389,     129;
     772,     103;
     309,     227;
     614,     173;
     384,     129;
     835,      40;
     974,     115;
     951,     149;
     773,      98;
     445,     153;
     416,     211;
     400,     160;
     775,      33;
     784,      95;
     770,      34;
     858,      38;
     389,     224;
     365,     116;
     954,     161;
     409,     137;
     806,      90;
     777,      37;
     834,      75;
     647,     124;
     644,     124;
     536,     184;
     374,     139;
     381,     139;
     421,     144;
     404,     214;
     215,     123;
     799,      77;
     243,      84;
     782,      34;
     427,     219;
     489,     182;
     790,      97;
     800,      85;
     444,     183;
     436,     164;
     775,      77;
     544,     204;
     393,     157;
     797,      89;
     475,     193;
     650,     155;
     972,     298;
     411,     202;
     783,     112;
     839,      87;
     437,     179;
     972,      58;
     970,     157;
     201,      59;
     423,     149;
     601,     166;
     791,      60;
     179,      78;
     869,      84;
     428,     167;
     819,      76;
     530,     187;
     974,      93;
     167,      67;
     969,     161;
     346,     107;
   808.8,    62.4;
   274.8,    99.6;
   214.8,   122.4;
   399.6,   159.6;
   345.6,     108;
   649.2,     150;
   772.8,   103.2;
   950.4,   254.4;
   373.2,     138;
   302.4,      96;
   796.8,    87.6;
   226.8,    80.4;
   364.8,   116.4;
   392.4,   157.2;
   646.8,   123.6;
   980.4,   303.6;
   477.6,   195.6;
   388.8,   224.4;
     108,      78;
   475.2,   193.2;
   799.2,    76.8;
   400.8,   136.8;
   435.6,   163.2;
   544.8,   218.4;
   830.4,    63.6;
   790.8,      60;
   382.8,   158.4;
     792,    63.6;
   351.6,   152.4;
     840,      42;
   952.8,   158.4;
   790.8,    94.8;
   771.6,    97.2;
   813.6,    50.4;
   529.2,     186;
   206.4,   133.2;
   814.8,    44.4;
   538.8,   194.4;
     204,   105.6;
   969.6,   157.2;
   442.8,   181.2;
     648,   154.8;
   535.2,   183.6;
   955.2,    55.2;
   427.2,   218.4;
   418.8,     162;
   835.2,    39.6;
   226.8,    94.8;
     642,     126;
   970.8,      90;
   778.8,    43.2;
   195.6,   134.4;
   950.4,     150;
   265.2,   104.4;
   950.4,   260.4;
   811.2,    62.4;
   537.6,     198;
     612,   172.8;
   382.8,   128.4;
     390,   128.4;
     810,    57.6;
   832.8,    57.6;
   793.2,      90;
   385.2,   164.4;
   411.6,   199.2;
   380.4,     138;
   433.2,   148.8;
   488.4,   181.2;
   243.6,      84;
   772.8,   115.2;
   955.2,   315.6;
   973.2,   115.2;
   957.6,   297.6;
   548.4,   195.6;
   848.4,   153.6;
   499.2,   181.2;
   980.4,   297.6;
   784.8,      42;
     528,   182.4;
   409.2,   136.8;
   105.6,    61.2;
   867.6,      84;
   201.6,    58.8;
   296.4,    91.2;
   544.8,   205.2;
   955.2,   313.2;
     846,      48;
   415.2,     192;
   196.8,    52.8;
   847.2,    79.2;
  372.96,  138.24;
   381.6,   129.6;
  613.44,   172.8;
   302.4,   96.48;
  400.32,   136.8;
  809.28,   63.36;
  956.16,   54.72;
  815.04,   44.64;
     792,   63.36;
   388.8,   129.6;
  371.52,  148.32;
  275.04,   99.36;
     648,  154.08;
  642.24,  125.28;
  790.56,   95.04;
   950.4,  149.76;
  204.48,  105.12;
   950.4,  254.88;
  384.48,  156.96;
  341.28,  109.44;
  956.16,  298.08;
  800.64,   84.96;
  351.36,  152.64;
  214.56,  120.96;
  393.12,   158.4;
  226.08,   95.04;
  226.08,    79.2;
  427.68,  218.88;
  365.76,  116.64;
  398.88,  159.84;
  848.16,  152.64;
  476.64,  192.96;
  810.72,    57.6;
     108,   77.76;
  419.04,  161.28;
  385.92,  164.16;
  436.32,  164.16;
  538.56,  195.84;
   244.8,   83.52;
   388.8,   223.2;
  953.28,   158.4;
  649.44,   151.2;
  370.08,   151.2;
  495.36,   194.4;
  416.16,  191.52;
  980.64,  298.08;
  276.48,   151.2;
  800.64,   77.76;
  498.24,     180;
  167.04,   136.8;
  796.32,   87.84;
  205.92,  133.92;
   813.6,    50.4;
  198.72,   53.28;
   417.6,  211.68;
  973.44,   115.2;
  980.64,  303.84;
  200.16,    57.6;
   410.4,  198.72;
  951.84,   259.2;
   345.6,     108;
  830.88,   63.36;
  390.24,   151.2;
  528.48,  185.76;
  771.84,   97.92;
  195.84,  135.36;
  948.96,  138.24;
  780.48,  155.52;
  488.16,     180;
  771.84,   115.2;
  442.08,  181.44;
  380.16,   136.8;
  195.84,   53.28;
  969.12,  159.84;
  106.56,   61.92;
 428.544, 217.728;
 644.544, 124.416;
   777.6,  103.68;
 214.272,  120.96;
 392.256, 158.976;
 772.416,  103.68;
  371.52, 136.512;
 203.904,  103.68;
 381.888,   129.6;
     648, 153.792;
 400.896, 136.512;
  440.64,  164.16;
 808.704,  62.208;
 435.456,  164.16;
 352.512, 153.792;
 400.896, 139.968;
 419.904, 160.704;
 490.752, 139.968;
  371.52, 148.608;
 387.072,  164.16;
 165.888, 134.784;
  440.64,  181.44;
 226.368,   77.76;
   388.8,   129.6;
 791.424,  93.312;
 196.992,  53.568;
   345.6, 108.864;
 775.872,  96.768;
 245.376,  82.944;
 953.856, 158.976;
  354.24, 110.592;
 416.448, 210.816;
 497.664, 179.712;
 611.712, 171.072;
 957.312, 321.408;
 791.424,  62.208;
 832.896,  58.752;
 105.408,  76.032;
 772.416, 114.048;
 195.264, 134.784;
 948.672, 150.336;
 476.928, 193.536;
 387.072,  224.64;
 444.096, 200.448;
  492.48, 143.424;
  846.72, 152.064;
 409.536,  198.72;
  96.768,   60.48;
   950.4, 257.472;
 340.416, 108.864;
 226.368,   95.04;
 979.776, 298.944;
 399.168, 158.976;
 800.064,  84.672;
 979.776, 304.128;
 383.616, 157.248;
 948.672,  138.24;
 494.208, 195.264;
 539.136, 196.992;
 279.936, 152.064;
 235.008,  98.496;
 494.208,  155.52;
  276.48, 150.336;
 381.542, 130.637;
 427.162, 217.728;
 408.499, 196.992;
 872.986, 141.005;
 978.739, 302.746;
 352.512, 153.446;
 300.672, 97.4592;
 947.635, 136.858;
  443.75, 199.066;
 642.816, 124.416;
 226.022, 95.3856;
 491.443, 138.931;
  385.69, 163.814;
 194.918, 138.931;
 369.101, 147.226;
 418.867, 211.507;
   777.6, 101.606;
 976.666, 296.525;
 771.379, 101.606;
 435.456, 163.814;
 226.022, 76.7232;
 953.856, 157.594;
  385.69, 223.949;
 429.235, 182.477;
 449.971, 165.888;
 398.131, 159.667;
  103.68, 74.6496;
 771.379, 111.974;
 476.928, 192.845;
  800.41, 85.0176;
 970.445, 114.048;
 367.027, 116.122;
 646.963, 153.446;
 947.635, 149.299;
 213.581, 118.195;
  184.55, 170.035;
 846.029, 151.373;
 165.888, 134.784;
 371.174, 134.784;
 439.603, 180.403;
 387.763, 153.446;
 387.763, 130.637;
 418.867, 159.667;
 400.205, 136.858;
 400.205, 141.005;
 107.827, 64.2816;
 949.709, 257.126;
 497.664,  178.33;
 335.923,  103.68;
  340.07, 109.901;
 416.794, 190.771;
 779.674,  155.52;
 213.996, 116.951;
 388.178, 154.276;
 388.178, 131.881;
 420.526, 156.764;
 189.112, 141.834;
 430.479, 181.647;
 164.229, 134.369;
 301.087, 209.019;
 773.868, 109.486;
 972.933, 114.463;
 418.038, 211.507;
 442.921, 209.019;
 883.354, 151.788;
  948.05, 149.299;
 442.921, 199.066;
 846.029, 151.788;
  400.62, 136.858;
 644.475, 126.904;
 427.991, 216.484;
 368.271, 116.951;
  948.05, 136.858;
 226.437, 77.1379;
 773.868, 102.021;
  385.69, 226.437;
 368.271, 149.299;
 353.342, 151.788;
  385.69, 164.229;
 437.944, 164.229;
 873.401, 141.834;
 413.061, 206.531;
  400.62, 141.834;
 781.333, 154.276;
  370.76, 131.881;
 452.874, 166.717;
 223.949, 97.0445;
 408.085, 199.066;
 437.944, 199.066;
 413.061, 161.741;
 186.624, 169.206;
 283.669, 87.0912;
 487.711, 176.671;
 953.027, 116.951;
 383.201, 156.764;
 353.342, 109.486;
 785.314, 155.271;
 859.964, 140.341;
 883.852, 152.285;
  438.94, 167.215;
 955.515, 122.425;
 188.117, 140.341;
 367.276, 116.453;
 185.131, 170.201;
 426.996, 214.991;
 415.052, 206.033;
 355.332, 152.285;
 214.991, 116.453;
 970.445, 113.467;
 946.557, 149.299;
 644.973, 128.397;
 441.926, 212.005;
 418.038, 212.005;
 845.034, 149.299;
 400.122, 140.341;
 441.926, 200.061;
 301.584, 209.019;
  453.87, 167.215;
 388.178, 131.383;
 164.229, 134.369;
 946.557, 134.369;
 367.276, 149.299;
 352.346, 110.481;
 495.673, 176.173;
 429.982, 182.145;
 776.356, 104.509;
 871.908, 143.327;
 313.528, 98.5375;
 223.949, 95.5515;
 122.425, 164.229;
 415.052, 164.229;
 388.178, 223.949;
 211.408, 114.662;
 440.731, 207.825;
 412.066, 204.241;
 429.982, 179.159;
 386.984, 128.995;
 440.731, 200.658;
 967.459, 111.079;
 186.325, 139.744;
 870.713, 143.327;
 161.243, 132.578;
 781.134, 150.494;
 444.315,  157.66;
 369.068, 118.245;
 842.048, 150.494;
 885.046, 150.494;
 859.964, 139.744;
 386.984, 161.243;
 397.733, 143.327;
 953.126, 121.828;
 365.485,  146.91;
 354.735, 154.077;
 437.148,  168.41;
 490.896,  157.66;
  945.96, 132.578;
 182.742, 171.993;
 297.404, 211.408;
 494.479, 175.576;
 644.973, 128.995;
  146.91, 136.161;
 351.152, 111.079;
 426.399, 214.991]
