[    912,      38;
     427,     146;
     454,     184;
     881,      70;
     505,     185;
     855,      70;
     307,     200;
     174,      49;
     557,     197;
     358,     149;
     431,     153;
     442,     145;
     841,      69;
     479,     198;
     872,     147;
     399,     206;
     493,     128;
     885,      41;
     374,     165;
     675,     153;
     171,      49;
     557,     200;
     454,     187;
     112,     102;
     562,     206;
     917,      35;
     342,     151;
     491,     130;
     926,      61;
     125,      62;
     388,     160;
     957,      53;
     445,     166;
     675,     156;
     953,      33;
     666,     124;
     470,     187;
     903,      58;
     939,      32;
     554,     188;
     438,     207;
     374,     156;
     890,      42;
     633,     177;
     886,      63;
     363,     236;
     199,      80;
     950,      37;
    1069,     158;
     459,     216;
     866,      37;
     673,     158;
     886,      43;
     362,     234;
     969,      52;
     441,     212;
     430,     142;
     674,     125;
     888,      66;
     417,     229;
     561,     202;
     548,     190;
     882,      66;
     973,      50;
     402,     218;
     456,     218;
     381,     158;
     385,     169;
     893,      48;
     385,     130;
     564,     218;
     428,     149;
     363,     139;
     379,     150;
     265,     240;
     877,      72;
     890,      50;
    1023,     298;
    1021,     300;
     395,     178;
    1030,     301;
     856,      72;
    1018,     307;
     414,     161;
     907,      56;
     959,      53;
     863,     121;
     668,     157;
    1067,     148;
     635,     176;
     516,     185;
     420,     167;
     915,      39;
     901,      61;
     402,     197;
     883,      96;
     848,      75;
     971,      52;
     886,      92;
     544,     189;
     907,      62;
     408,     135;
     327,     100;
     992,      49;
     878,      41;
     908,      46;
     849,      70;
     972,      57;
     390,     191;
  1022.4,   297.6;
   111.6,   100.8;
   553.2,   187.2;
   849.6,    69.6;
   841.2,    69.6;
   458.4,   176.4;
   362.4,   236.4;
   397.2,   208.8;
   100.8,      84;
  1069.2,   158.4;
     402,   218.4;
   880.8,    69.6;
     480,     198;
     888,    64.8;
   387.6,   158.4;
   326.4,    98.4;
     558,   196.8;
   380.4,   158.4;
     912,    37.2;
   547.2,   189.6;
   673.2,   157.2;
   199.2,    79.2;
     906,    55.2;
     924,    45.6;
   343.2,   151.2;
   379.2,   151.2;
   674.4,   154.8;
   668.4,   154.8;
  1006.8,    50.4;
   925.2,      60;
   374.4,   154.8;
  1066.8,   147.6;
   862.8,   121.2;
   124.8,    62.4;
   453.6,   184.8;
  1018.8,     306;
   885.6,    63.6;
   357.6,   148.8;
     120,      78;
     666,   123.6;
   428.4,   147.6;
   374.4,   164.4;
   673.2,   124.8;
   632.4,   176.4;
   561.6,   205.2;
   889.2,    43.2;
  1028.4,     300;
   398.4,   205.2;
   445.2,   165.6;
   855.6,    70.8;
   415.2,     228;
   560.4,   201.6;
   265.2,     240;
   385.2,     168;
     174,    49.2;
   892.8,      48;
  1005.6,      48;
   121.2,    67.2;
     420,   165.6;
   901.2,    61.2;
   388.8,   190.8;
   493.2,   128.4;
   849.6,    75.6;
     882,      66;
   514.8,   184.8;
   634.8,     174;
   949.2,    37.2;
   968.4,    50.4;
   963.6,      48;
   442.8,     144;
   957.6,    52.8;
   883.2,    97.2;
     384,     132;
   136.8,    58.8;
     132,    81.6;
     336,     102;
     306,     198;
   373.2,   196.8;
   429.6,   141.6;
   991.2,    49.2;
  1024.8,   148.8;
   386.4,   190.8;
  1029.6,   308.4;
     504,   184.8;
   961.2,    62.4;
     402,   196.8;
   106.8,     114;
   854.4,    93.6;
   873.6,    73.2;
   382.8,   223.2;
   374.4,  164.16;
   172.8,   48.96;
  851.04,   76.32;
  923.04,   46.08;
  357.12,  148.32;
  1022.4,  299.52;
  397.44,  204.48;
  106.56,  112.32;
  385.92,  167.04;
 1069.92,   158.4;
 1028.16,  300.96;
  969.12,    50.4;
  672.48,  125.28;
  362.88,  138.24;
 1067.04,  148.32;
  444.96,   165.6;
   885.6,   63.36;
   453.6,  184.32;
  110.88,   100.8;
  120.96,   67.68;
 1019.52,  306.72;
  361.44,  236.16;
  560.16,   201.6;
  668.16,  154.08;
  123.84,   60.48;
   633.6,  175.68;
  429.12,  146.88;
  855.36,   70.56;
  342.72,   151.2;
  666.72,  123.84;
  380.16,   158.4;
  401.76,  218.88;
   99.36,   83.52;
   374.4,  155.52;
  178.56,   63.36;
  120.96,    79.2;
  514.08,  184.32;
  673.92,  155.52;
  181.44,   158.4;
     180,  141.12;
  335.52,  102.24;
  901.44,   60.48;
  420.48,   165.6;
  378.72,   151.2;
  480.96,  197.28;
  131.04,   80.64;
  383.04,   223.2;
  416.16,  228.96;
 1110.24,  148.32;
  436.32,  205.92;
  457.92,  174.24;
   964.8,   48.96;
  905.76,   54.72;
   136.8,    57.6;
  545.76,  188.64;
  217.44,   73.44;
  387.36,   158.4;
  264.96,  240.48;
  200.16,    79.2;
  145.44,   44.64;
  421.92,   151.2;
     396,   208.8;
   532.8,  190.08;
  385.92,  224.64;
  558.72,  197.28;
  1029.6,   309.6;
   871.2,   76.32;
  881.28,   48.96;
  840.96,   69.12;
  329.76,  105.12;
    1008,    50.4;
  348.48,  106.56;
   367.2,  145.44;
  882.72,   97.92;
   892.8,   48.96;
 905.472,  55.296;
 374.976,  164.16;
 419.904,  164.16;
 435.456,  207.36;
 853.632,  70.848;
 200.448,   77.76;
 857.088,  88.128;
 851.904,  91.584;
 110.592, 100.224;
 416.448, 228.096;
 355.968, 108.864;
 100.224,  82.944;
  380.16, 158.976;
 385.344, 167.616;
  397.44, 205.632;
 179.712, 141.696;
 387.072, 158.976;
 451.008, 167.616;
 105.408,  112.32;
 361.152, 236.736;
 343.872, 152.064;
 355.968, 148.608;
 374.976,  155.52;
 1066.18, 148.608;
 1026.43, 300.672;
 1019.52, 307.584;
 1069.63, 160.704;
 361.152,  138.24;
 366.336, 145.152;
 119.232,  67.392;
 884.736,  65.664;
 902.016,   60.48;
 850.176,   77.76;
 667.008, 124.416;
 444.096, 165.888;
 124.416,  58.752;
 508.032, 145.152;
 452.736, 184.896;
 508.032, 141.696;
 1028.16, 309.312;
  138.24,  57.024;
 558.144, 202.176;
 869.184, 153.792;
 335.232,  103.68;
 402.624, 219.456;
 513.216, 183.168;
  181.44, 158.976;
  120.96,  79.488;
 672.192, 157.248;
 385.344,  224.64;
  872.64,  76.032;
 1109.38, 148.608;
 131.328,  81.216;
 349.056, 107.136;
 330.048,  103.68;
 506.304, 196.992;
 430.272, 186.624;
  362.88,  112.32;
 1064.45, 133.056;
 235.008,  76.032;
 494.208, 158.976;
  233.28,  67.392;
 482.112,  198.72;
 354.586, 147.226;
 1022.28, 298.598;
  385.69, 157.594;
 360.806, 134.784;
 1109.38, 147.226;
 99.5328, 80.8704;
 1024.36, 306.893;
 418.867, 161.741;
 344.218, 151.373;
 387.763, 165.888;
 416.794, 228.096;
 449.971, 165.888;
 850.176, 89.1648;
 1069.98, 159.667;
 367.027, 143.078;
 118.195, 66.3552;
 445.824, 165.888;
 856.397, 85.0176;
 885.427, 66.3552;
 111.974, 99.5328;
 1018.14, 304.819;
 375.322, 163.814;
 850.176, 78.7968;
  103.68, 111.974;
 667.699, 124.416;
 449.971,  184.55;
 868.839, 151.373;
 120.269, 80.8704;
 348.365, 107.827;
 396.058, 203.213;
 1063.76, 147.226;
 360.806,  236.39;
 277.862, 213.581;
 130.637, 78.7968;
 105.754, 89.1648;
 508.032, 145.152;
 377.395, 151.373;
 120.269,  72.576;
 429.235,  184.55;
 667.699, 149.299;
 180.403, 141.005;
 180.403, 159.667;
 404.352, 196.992;
  362.88, 111.974;
 512.179, 180.403;
 232.243, 66.3552;
 854.323, 70.5024;
 335.923,  103.68;
 671.846,  155.52;
  495.59, 157.594;
 508.032, 141.005;
 1063.76,  132.71;
 388.178, 166.717;
 398.131, 129.393;
 450.386, 184.136;
 418.038, 226.437;
 375.736, 161.741;
 181.647, 141.834;
 111.974, 97.0445;
 131.881, 77.1379;
 368.271, 141.834;
 1109.79, 146.811;
 395.643, 204.042;
 855.982, 87.0912;
 92.0679, 126.904;
 99.5328, 79.6263;
 1072.47, 159.253;
 669.358, 124.416;
 353.342, 146.811;
 851.006, 79.6263;
 243.855, 149.299;
 119.439, 82.1146;
 851.006, 89.5795;
 276.204, 211.507;
 104.509, 109.486;
 405.596, 218.972;
 92.0679, 116.951;
 348.365, 106.998;
  385.69, 159.253;
 368.271, 116.951;
 420.526, 159.253;
    1065, 146.811;
 445.409, 166.717;
 870.912, 151.788;
 1102.33, 109.486;
 345.877, 151.788;
    1065, 131.881;
 360.806,  236.39;
 363.295, 111.974;
 360.806, 134.369;
 430.479, 184.136;
 335.923, 104.509;
 420.526, 154.276;
 248.832, 149.299;
 980.398, 151.788;
 1144.63, 146.811;
 104.509, 110.481;
  438.94, 182.145;
 668.861, 125.411;
    1066, 128.397;
 352.346, 146.313;
 346.374, 152.285;
 447.898, 167.215;
  438.94, 217.977;
 361.304, 131.383;
 1110.79, 146.313;
 110.481, 95.5515;
 367.276, 116.453;
 385.192, 158.257;
  349.36, 107.495;
 871.908, 152.285;
 418.038, 223.949;
  409.08, 197.075;
 388.178, 167.215;
