[      0,     100;
       1,     135;
       2,      85;
       3,     435;
       4,       9;
       5,      54;
       6,     140;
       7,     181;
       8,       5;
       9,     347;
      10,      20;
      11,      87;
      12,     133;
      13,      41;
      14,      73;
      15,     359;
      16,     425;
      17,      53;
      18,     104;
      19,     494;
      20,      60;
      21,      30;
      22,     169;
      23,      76;
      24,     151;
      25,     263;
      26,      27;
      27,      52;
      28,     253;
      29,      45;
      30,     157;
      31,     422;
      32,     292;
      33,     332;
      34,     105;
      35,     147;
      36,      23;
      37,      48;
      38,       9;
      39,      57;
      40,      68;
      41,      16;
      42,      92;
      43,     256;
      44,      22;
      45,       4;
      46,     119;
      47,      60;
      48,      59;
      49,     285;
      50,      83;
      51,     106;
      52,     130;
      53,      82;
      54,     359;
      55,     342;
      56,      29;
      57,      70;
      58,     116;
      59,      13;
      60,      18;
      61,     168;
      62,      12;
      63,      55;
      64,      34;
      65,     124;
      66,      43;
      67,      36;
      68,      36;
      69,      35;
      70,     159;
      71,       0;
      72,     223;
      73,     256;
      74,      11;
      75,      19;
      76,     107;
      77,     109;
      78,      25;
      79,     150;
      80,     198;
      81,     400;
      82,      47;
      83,     177;
      84,      10;
      85,     143;
      86,      47;
      87,     161;
      88,     201;
      89,      14;
      90,     160;
      91,       9;
      92,      72;
      93,     178;
      94,      47;
      95,       2;
      96,       4;
      97,      33;
      98,     259;
      99,       6;
     100,     380;
     101,     267;
     102,     131;
     103,      37;
     104,      14;
     105,     152;
     106,     230;
     107,      46;
     108,       3;
     109,      47;
     110,     267;
     111,     135;
     112,     131;
     113,     209;
     114,     127;
     115,     136;
     116,     177;
     117,     125;
     118,     149;
     119,     220;
     120,     190;
     121,      21;
     122,     332;
     123,     178;
     124,     128;
     125,      14;
     126,     422;
     127,      40;
     128,     120;
     129,     139;
     130,     109;
     131,     113;
     132,     250;
     133,     138;
     134,     326;
     135,     258;
     136,     110;
     137,     341;
     138,      55;
     139,     140;
     140,     144;
     141,     259;
     142,     453;
     143,     118;
     144,     121;
     145,     123;
     146,     134;
     147,     126;
     148,     264;
     149,     132;
     150,     116;
     151,     140;
     152,     216;
     153,     376;
     154,     400;
     155,     212;
     156,     141;
     157,     376;
     158,     117;
     159,     145;
     160,     248;
     161,     133;
     162,     159;
     163,     189;
     164,     115;
     165,     232;
     166,     288;
     167,     112;
     168,     182;
     169,     163;
     170,     252;
     171,     338;
     172,     177;
     173,      95;
     174,     170;
     175,     193;
     176,     470;
     177,     187;
     178,      13;
     179,     273;
     180,     195;
     181,     177;
     182,     247;
     183,      56;
     184,     141;
     185,     292;
     186,     471;
     187,      45;
     188,     315;
     189,     152;
     190,     160;
     191,     184;
     192,     236;
     193,     114;
     194,     195;
     195,     349;
     196,     186;
     197,      55;
     198,     385;
     199,     268;
     200,     112;
     201,     287;
     202,     162;
     203,      54;
     204,     250;
     205,     309;
     206,     314;
     207,     245;
     208,     205;
     209,     220;
     210,     221;
     211,     323;
     212,     222;
     213,     320;
     214,     314;
     215,     208;
     216,     293;
     217,     247;
     218,     326;
     219,     258;
     220,     152;
     221,       5;
     222,     247;
     223,       9;
     224,     331;
     225,     238;
     226,     452;
     227,     201;
     228,     264;
     229,     294;
     230,     261;
     231,     199;
     232,     231;
     233,     385;
     234,     216;
     235,     299;
     236,      14;
     237,     204;
     238,     234;
     239,     227;
     240,     200;
     241,     191;
     242,     211;
     243,     241;
     244,      80;
     245,     269;
     246,     182;
     247,     235;
     248,     308;
     249,     308;
     250,     256;
     251,     426;
     252,     131;
     253,     286;
     254,     213;
     255,     276;
     256,     282;
     257,     260;
     258,     270;
     259,     266;
     260,     120;
     261,     182;
     262,     255;
     263,      95;
     264,     172;
     265,     316;
     266,     189;
     267,     240;
     268,     151;
     269,     460;
     270,     177;
     271,     244;
     272,     236;
     273,     226;
     274,     249;
     275,     408;
     276,     285;
     277,     298;
     278,      44;
     279,     309;
     280,     355;
     281,     206;
     282,     204;
     283,     295;
     284,     222;
     285,     303;
     286,     284;
     287,     359;
     288,     300;
     289,     331;
     290,     281;
     291,     428;
     292,     304;
     293,     314;
     294,     318;
     295,     293;
     296,     323;
     297,     312;
     298,     338;
