[      0,       4;
       1,      66;
       2,     218;
       3,     434;
       4,     141;
       5,      33;
       6,      69;
       7,     113;
       8,      46;
       9,     112;
      10,     413;
      11,     247;
      12,     109;
      13,      32;
      14,     157;
      15,      31;
      16,     189;
      17,      42;
      18,      22;
      19,       9;
      20,       7;
      21,      68;
      22,     296;
      23,     172;
      24,     146;
      25,       3;
      26,      76;
      27,     179;
      28,     140;
      29,     218;
      30,      44;
      31,     122;
      32,     221;
      33,     406;
      34,     387;
      35,      83;
      36,      90;
      37,     193;
      38,     198;
      39,      24;
      40,      66;
      41,     499;
      42,     473;
      43,      29;
      44,     135;
      45,     167;
      46,     105;
      47,     118;
      48,     202;
      49,     152;
      50,     166;
      51,      69;
      52,     187;
      53,     319;
      54,     182;
      55,     128;
      56,     454;
      57,      73;
      58,      60;
      59,     234;
      60,     327;
      61,     121;
      62,      93;
      63,     384;
      64,      13;
      65,      23;
      66,     106;
      67,       0;
      68,       8;
      69,      87;
      70,      37;
      71,      48;
      72,      57;
      73,      13;
      74,     469;
      75,      14;
      76,      21;
      77,     349;
      78,     373;
      79,     153;
      80,      23;
      81,      81;
      82,     180;
      83,      58;
      84,       1;
      85,      39;
      86,      53;
      87,     192;
      88,      45;
      89,       5;
      90,      34;
      91,      85;
      92,      72;
      93,     114;
      94,     299;
      95,      74;
      96,     268;
      97,     102;
      98,      23;
      99,      72;
     100,     142;
     101,     201;
     102,     117;
     103,      77;
     104,      84;
     105,     169;
     106,     499;
     107,     103;
     108,      91;
     109,     152;
     110,     212;
     111,     192;
     112,      16;
     113,     263;
     114,     227;
     115,     149;
     116,     209;
     117,     147;
     118,       6;
     119,       7;
     120,     145;
     121,     205;
     122,     156;
     123,     172;
     124,     267;
     125,     140;
     126,     106;
     127,     257;
     128,     164;
     129,     215;
     130,     299;
     131,     208;
     132,     193;
     133,     469;
     134,     229;
     135,     252;
     136,     159;
     137,     319;
     138,     234;
     139,     137;
     140,      83;
     141,     184;
     142,      52;
     143,     131;
     144,      95;
     145,     154;
     146,     278;
     147,       9;
     148,     211;
     149,     201;
     150,     499;
     151,     188;
     152,     163;
     153,     157;
     154,     192;
     155,      63;
     156,     111;
     157,     198;
     158,     204;
     159,     139;
     160,      36;
     161,     303;
     162,     167;
     163,     178;
     164,      75;
     165,     204;
     166,     169;
     167,     196;
     168,     118;
     169,      41;
     170,     326;
     171,     174;
     172,     477;
     173,     320;
     174,     160;
     175,     275;
     176,      60;
     177,     110;
     178,     115;
     179,     230;
     180,      94;
     181,     236;
     182,     477;
     183,      53;
     184,     149;
     185,     117;
     186,     168;
     187,     166;
     188,     112;
     189,     136;
     190,     442;
     191,     187;
     192,     224;
     193,       7;
     194,     193;
     195,     202;
     196,     113;
     197,      46;
     198,     158;
     199,     461;
     200,     277;
     201,     212;
     202,     222;
     203,     248;
     204,     233;
     205,     227;
     206,     279;
     207,     216;
     208,     199;
     209,     228;
     210,     236;
     211,     368;
     212,     205;
     213,     136;
     214,     225;
     215,     238;
     216,     230;
     217,      46;
     218,     281;
     219,     201;
     220,     213;
     221,     215;
     222,     202;
     223,     207;
     224,     235;
     225,     206;
     226,     276;
     227,     391;
     228,     263;
     229,     253;
     230,     214;
     231,     242;
     232,     260;
     233,     243;
     234,     274;
     235,     239;
     236,     264;
     237,     229;
     238,     185;
     239,      46;
     240,     209;
     241,     234;
     242,     144;
     243,     200;
     244,     223;
     245,     360;
     246,     231;
     247,     247;
     248,     239;
     249,     203;
     250,     259;
     251,     459;
     252,     276;
     253,     257;
     254,     244;
     255,     193;
     256,      83;
     257,     340;
     258,     256;
     259,     377;
     260,     445;
     261,     408;
     262,     203;
     263,     265;
     264,      89;
     265,     293;
     266,     246;
     267,     275;
     268,     273;
     269,     324;
     270,     258;
     271,     394;
     272,     280;
     273,     226;
     274,     305;
     275,     324;
     276,     279;
     277,     341;
     278,     298;
     279,     292;
     280,     263;
     281,     234;
     282,     308;
     283,     333;
     284,     306;
     285,     304;
     286,     309;
     287,     307;
     288,     290;
     289,     336;
     290,     144;
     291,     315;
     292,     360;
     293,     285;
     294,      63;
     295,     161;
     296,     206;
     297,     256;
     298,     380;
     299,     215;
     300,     340;
     301,     295;
     302,     280;
     303,     287;
     304,     103;
     305,     350;
     306,     286;
     307,     283;
     308,     413;
     309,     314;
     310,     313;
     311,     118;
     312,     389;
     313,     178;
     314,     325;
     315,     337;
     316,     446;
     317,     288;
     318,     297;
     319,     301;
     320,     419;
     321,      38;
     322,     300;
     323,     297;
     324,     321;
     325,     485;
     326,     354;
     327,     351;
     328,      80;
     329,      85;
     330,      35;
     331,     343;
